GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(°C),Average trip speed(whilst moving only)(mph),Average trip speed(whilst stopped or moving)(mph),Distance to empty (Estimated)(miles),Engine Oil Temperature(°C),Engine RPM(rpm),Fuel Level (From Engine ECU)(%),Fuel Remaining (Calculated from vehicle profile)(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),Speed (GPS)(mph),Speed (OBD)(mph),Torque(Nm),Trip average KPL(kpl),Trip average MPG(mpg),Trip Distance(miles),Trip Time(Since journey start)(s)
Tue May 07 18:29:30 GMT+05:30 2019,07-May-2019 18:29:30.494,77.62802523398454,13.067633966720502,0.0,6.0,821.8934728417363,0.0,-3.94337058,-3.70633745,8.53558922,0.01466754,-0.07901692,-0.3580429,-0.33314833,0.68003082,27,1.03561866,0.01142227,157.77210999,-,981.25,-,49.98067856,0.05155091,6,821.89349365,0,13.06763363,77.62802887,-,35,0,9.23548508,-,10.82757664,0,26.08893967,0,0,-,201.2872467,568.60803223,6.44779301,7
Tue May 07 18:29:31 GMT+05:30 2019,07-May-2019 18:29:31.495,77.6280250461799,13.067633944235185,0.0,6.0,821.8966715682432,0.0,-3.89309072,-2.72707891,8.71037197,0.01768828,0.05025865,-0.36902583,-0.35145319,0.81792736,27,1.0873996,0.01587445,157.73828125,-,966.75,-,49.97931671,0.0522986,6,821.89666748,0,13.06763363,77.62802124,0.54160327,35,0,9.23475838,-,10.82842827,0,26.08688927,0,1.24274242,3.98926759,200.23762512,565.64300537,6.44779301,8
Tue May 07 18:29:32 GMT+05:30 2019,07-May-2019 18:29:32.500,77.6280247425262,13.0676338708873,0.0,6.0,821.9004155146886,0.0,-3.53873825,-2.98566079,8.49728107,0.0055286,0.07447343,-0.3580429,-0.3941645,0.83281529,27,1.24274242,0.02259532,157.70254517,-,946.75,-,49.97814178,0.05294574,6,821.90039062,0,13.06763363,77.62802124,0.54160327,35,1.57147563,9.23184299,63.63313293,10.83184719,4.43919659,26.07865334,0,1.86411357,3.98926759,195.99128723,553.64770508,6.44801855,9
Tue May 07 18:29:33 GMT+05:30 2019,07-May-2019 18:29:33.498,77.62802381803874,13.067633704453376,0.0,6.0,821.9431940373578,0.0,-3.37353325,-4.2905407,8.78459454,0.03614634,-0.0638053,-0.27384061,-0.40197456,0.69955593,27,1.77534628,0.04486435,157.68331909,-,967.5,-,49.97768021,0.05319929,6,821.94317627,0,13.06763363,77.62802124,2.07576895,35,2.74423742,9.23184299,36.43923569,10.83184719,7.7520833,26.07865334,0,3.10685587,15.22249603,195.99128723,553.64770508,6.44901276,10
Tue May 07 18:29:34 GMT+05:30 2019,07-May-2019 18:29:34.494,77.62802570015619,13.067635954810504,0.25832924,6.0,821.9271914342527,92.83392,-3.03833485,-3.79731989,7.95617533,0.01788694,-0.06209423,-0.33802959,-0.37244272,0.69125777,27,1.94178498,0.05587871,157.66282654,-,976,-,49.97652817,0.05383356,6,821.92718506,92.83392334,13.06763554,77.62802887,2.07576895,35,3.17385983,9.23013687,31.5067234,10.83384991,8.96570587,26.07383347,0.57786602,3.10685587,15.22249603,192.80230713,544.63928223,6.44946718,11
Tue May 07 18:29:35 GMT+05:30 2019,07-May-2019 18:29:35.494,77.62803425861915,13.067642333471134,0.50602067,6.0,821.9531923776959,65.61825,-3.58422947,-4.07984447,8.89473057,0.03619634,0.05276455,-0.47617024,-0.49105817,0.69980001,27,2.05052495,0.07323303,157.64814758,-,1009.75,-,49.97576904,0.05424927,6,821.95318604,65.61824799,13.06764221,77.6280365,2.07576895,35,2.37061644,9.2295208,42.18224335,10.83457279,6.69665623,26.07209396,1.13193595,1.86411357,15.22249603,191.35655212,540.55523682,6.4505353,12
Tue May 07 18:29:36 GMT+05:30 2019,07-May-2019 18:29:36.495,77.62803563585628,13.067641911649472,0.33966446,6.0,822.506458102683,65.61825,-4.01280451,-3.60577798,8.28658485,0.03416751,0.02271822,-0.40734398,-0.40563554,0.74544013,27,2.05052495,0.07297242,157.63597107,-,975.25,-,49.97524643,0.05453739,6,822.50646973,65.61824799,13.06764221,77.6280365,2.07576895,35,0,9.22874832,-,10.83548069,0,26.06991005,0.75980777,0,15.22249603,190.34561157,537.69946289,6.4505353,13
Tue May 07 18:29:37 GMT+05:30 2019,07-May-2019 18:29:37.494,77.6280332394487,13.067643723324704,0.23123854,6.0,822.4416319668935,65.61825,-3.23466516,-3.31607056,7.39112616,-0.01110992,-0.11051675,-0.3297314,-0.33802959,0.65342772,27,1.92060184,0.07465237,157.61915588,-,946.5,-,49.97409821,0.05516822,6,822.44165039,65.61824799,13.06764412,77.6280365,-,35,0.53020775,9.22705555,188.60139465,10.83746815,1.49776196,26.06512833,0.51726586,0.62137121,-,188.16911316,531.55114746,6.4505353,14
Tue May 07 18:29:38 GMT+05:30 2019,07-May-2019 18:29:38.494,77.62802838898426,13.067642595160683,0.39165172,6.0,822.3341956917468,247.65985,-3.30170488,-3.49564123,8.76783466,0.03834599,-0.06727368,-0.27847782,-0.35682261,0.71517611,27,1.81631577,0.0828495,157.58805847,-,955.25,-,49.97340775,0.05554836,6,822.33416748,247.65985107,13.06764221,77.62802887,0.70111293,35,1.18664837,9.22609901,84.26921082,10.83859158,3.3521142,26.06242752,0.87609994,1.24274242,5.27464771,186.88529968,527.92456055,6.45095539,15
Tue May 07 18:29:39 GMT+05:30 2019,07-May-2019 18:29:39.490,77.6280238353493,13.067639138179965,0.54839253,6.0,822.3856744420068,245.20303,-3.34959054,-3.51718974,8.38953876,0.01143172,0.00808587,-0.38977131,-0.41051683,0.73372501,27,1.78126407,0.09309743,157.5687561,-,957.5,-,49.9724617,0.05606974,6,822.38568115,245.20303345,13.06763935,77.62802124,0.70111293,35,1.17249191,9.22492218,85.28665924,10.8399744,3.31212425,26.0591011,1.22671914,1.86411357,5.27464771,185.16105652,523.05383301,6.45137739,16
