GPS Time,Device Time,Longitude,Latitude,GPS Speed (Meters/second),Horizontal Dilution of Precision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(Â°C),Average trip speed(whilst moving only)(mph),Average trip speed(whilst stopped or moving)(mph),Distance to empty (Estimated)(miles),Engine Oil Temperature(Â°C),Engine RPM(rpm),Fuel Level (From Engine ECU)(%),Fuel Remaining (Calculated from vehicle profile)(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(Â°),GPS Latitude(Â°),GPS Longitude(Â°),Horsepower (At the wheels)(hp),Intake Air Temperature(Â°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),Speed (GPS)(mph),Speed (OBD)(mph),Torque(Nm),Trip average KPL(kpl),Trip average MPG(mpg),Trip Distance(miles),Trip Time(Since journey start)(s)
-,13-May-2019 16:44:14,-,-,-,-,-,-,-1.06305802,-5.10698795,7.99208927,0.00930646,-0.04261837,-0.1086088,-0.53132886,0.68857306,30,2.85830736,0.3106856,144.850708,-,986.25,-,48.22356033,0.0134174,-,-,-,-,-,2.01602316,37,3.61628318,8.7884388,27.65212631,11.37834835,10.21548939,24.8260994,-,3.72822714,14.47138023,0.16494676,0.46595132,0.00224203,2
-,13-May-2019 16:44:15,-,-,-,-,-,-,-0.71828246,-5.20036507,8.05434036,0.016014,0.0377099,-0.09811401,-0.55280656,0.77228725,30,2.89973211,0.37017858,144.837738,-,986.5,-,48.22239304,0.01405804,-,-,-,-,-,2.01602316,37,2.78641605,8.7876997,35.88764572,11.37930584,7.87123203,24.82401085,-,3.10685587,14.47138023,0.32642883,0.92211533,0.00285149,3
-,13-May-2019 16:44:16,-,-,-,-,-,-,-1.15882897,-4.56588221,8.65290928,0.01154493,-0.04935308,-0.06955844,-0.45029938,0.73396909,30,2.92932153,0.42719269,144.8232117,-,959.5,-,48.22161484,0.01448705,-,-,-,-,-,2.01602316,37,3.00753498,8.78710365,33.24913025,11.38007736,8.49586105,24.82232666,-,3.10685587,14.47138023,0.39575869,1.11796236,0.00356261,4
-,13-May-2019 16:44:17,-,-,-,-,-,-,-0.66081983,-3.67760611,9.80934429,0.04022311,0.07038495,-0.06736185,-0.37488338,0.8999331,30,3.10685587,0.55923408,144.8102112,-,973.5,-,48.22055817,0.01506862,-,-,-,-,-,0.64770871,37,3.06159616,8.78643227,32.66202164,11.38094711,8.64857674,24.82043076,-,3.72822714,4.80685329,0.5234943,1.47879744,0.00490167,5
Mon May 13 16:44:18 GMT+05:30 2019,13-May-2019 16:44:18,77.56682271,13.03220912,2.415745,200,912.6925117,62.39564,-0.95292139,-3.6560576,8.93303967,0.03222519,-0.01095933,-0.09713775,-0.3726868,0.81060547,30,3.38929749,0.71696675,144.7966766,-,1034,-,48.21973038,0.01552249,-,-,-,-,-,0.64770871,37,2.91195822,8.78572178,34.34043503,11.38186741,8.22587109,24.81842232,-,5.59234095,4.80685329,0.56326807,1.59115279,0.00649186,6
Mon May 13 16:44:19 GMT+05:30 2019,13-May-2019 16:44:19,77.5672767,13.03245549,2.3079255,96,1018.168729,63.219833,-1.68078089,-2.7605989,9.32330608,0.02487379,0.04675553,-0.14351004,-0.4051474,0.85404897,30,3.72822714,0.84412694,144.7820892,-,1365,-,48.2187767,0.01604748,96,-,-,-,-,8.43229294,37,2.85712123,8.78572178,34.99953461,11.38186741,8.07096386,24.81842232,-,7.45645428,43.98849869,0.56326807,1.59115279,0.00782211,7
Mon May 13 16:44:19 GMT+05:30 2019,13-May-2019 16:44:20,77.5672767,13.03245549,2.3079255,96,1018.168729,63.219833,-1.12291491,-5.21712494,8.3153162,-0.00129274,0.00966485,-0.05955179,-0.46421108,0.79425311,30,4.15840721,1.00109804,144.7433319,-,1744.5,-,48.21693039,0.01706334,96,-,-,-,-,8.43229294,37,37.27439499,8.78409386,2.68275118,11.38397598,105.294899,24.81382561,-,9.32056808,43.98849869,0.88563925,2.50180578,0.0093903,8
Mon May 13 16:44:20 GMT+05:30 2019,13-May-2019 16:44:21,77.56722653,13.03247857,2.2883642,96,1001.241944,60.625942,-1.11094356,-3.96252489,9.1940155,0.05083343,0.09130148,-0.13325933,-0.39538482,0.90798724,30,4.92954493,1.32041383,144.7481232,-,1130.25,-,48.21639633,0.01735766,96,1001.241943,60.62594223,13.03247833,77.56723022,5.49640226,37,7.72955132,8.78409386,12.93709278,11.38397598,21.83489037,24.81382561,5.11892462,10.56331062,36.02258682,0.88563925,2.50180578,0.01301669,9
Mon May 13 16:44:20 GMT+05:30 2019,13-May-2019 16:44:22,77.56722653,13.03247857,2.2883642,96,1001.241944,60.625942,-1.52754736,-4.21871233,9.86441231,0.10570131,0.10367555,-0.12691364,-0.41686249,0.91360068,29,5.35932636,1.50437236,144.7313843,-,1511.25,-,48.21353531,0.01893122,96,1001.241943,60.62594223,13.03247833,77.56723022,12.74463367,37,4.28131342,8.7823,23.3568306,11.38630295,12.09410667,24.80875587,5.11892462,11.80605221,70.70620728,1.24703658,3.52270222,0.01466954,10
Mon May 13 16:44:23 GMT+05:30 2019,13-May-2019 16:44:23,77.56727522,13.03229509,5.752911,128,936.0773872,70.51643,-1.76458049,-6.94339705,11.11661816,0.31556642,0.29341856,-0.0995784,-0.74830234,0.94972229,29,6.38631487,1.94836724,144.7058868,-,1728,-,48.21217728,0.01967732,128,936.0773926,70.51643372,13.03229523,77.567276,19.72354889,37,4.20180416,8.7823,23.79880333,11.38630295,11.86950397,24.80875587,12.86889553,15.53427982,81.27695465,1.24703658,3.52270222,0.0198774,11
Mon May 13 16:44:24 GMT+05:30 2019,13-May-2019 16:44:24,77.56730479,13.03228895,5.769407,128,932.3652402,73.59839,-1.0175668,-5.98808146,8.69600582,0.0152519,0.01391122,-0.10592408,-0.56476569,0.73494536,29,6.83508301,2.16444302,144.6833344,-,1717,-,48.20994568,0.02090571,128,932.3652344,73.59838867,13.03228855,77.56730652,19.72354889,37,10.2153101,8.78148746,9.78902435,11.3873558,28.85680771,24.80646133,12.90579414,14.91290855,81.27695465,1.78732669,5.04894543,0.02321814,12
