GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(°C),Average trip speed(whilst moving only)(mph),Average trip speed(whilst stopped or moving)(mph),Distance to empty (Estimated)(miles),Engine Oil Temperature(°C),Engine RPM(rpm),Fuel Level (From Engine ECU)(%),Fuel Remaining (Calculated from vehicle profile)(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),Speed (GPS)(mph),Speed (OBD)(mph),Torque(Nm),Trip average KPL(kpl),Trip average MPG(mpg),Trip Distance(miles),Trip Time(Since journey start)(s)
Wed Apr 24 16:25:29 GMT+05:30 2019,24-Apr-2019 16:25:29.209,77.58721380263201,12.92608519687887,1.9538847,4.0,835.6948833096831,357.42084,0.93855572,7.36718369,6.22032595,0.00651836,-0.02868437,0.12813397,0.74537361,0.50894147,38,5.74768353,2.02859426,405.94946289,87,1232.5,-,49.98220825,0.10816415,4,835.69488525,357.4208374,12.92608547,77.58721161,-,42,0.92177099,13.05406857,108.48455811,7.66028738,2.60387278,36.87590027,4.37071562,5.59234095,-,100.89952087,285.02688599,6.78272581,98
Wed Apr 24 16:25:30 GMT+05:30 2019,24-Apr-2019 16:25:30.201,77.58720938231558,12.926112981240388,2.0110288,4.0,835.8556290921313,357.7828,0.42378664,7.57548571,6.60580397,0.03812819,0.02792418,0.00073219,0.81297952,0.52846658,38,5.74768353,2.02859426,405.40985107,87,1203,-,49.97926331,0.11110998,4,835.85565186,357.7828064,12.92611313,77.58721161,-,42,0.9097451,13.03219604,109.91860962,7.67314434,2.56990147,36.81411362,4.49854279,5.59234095,-,98.24097443,277.51687622,6.78272581,99
Wed Apr 24 16:25:31 GMT+05:30 2019,24-Apr-2019 16:25:31.201,77.58720672657425,12.926133953336985,2.0374584,4.0,835.8892787572132,357.21106,0.28731298,6.53397608,7.34324074,-0.00711893,-0.07739271,0.01025072,0.67630327,0.52700222,38,5.74146986,2.08024263,404.70370483,87,1196.5,-,49.97594833,0.11442693,4,835.88928223,357.21105957,12.92613411,77.58720398,-,42,0.93711728,13.00888729,106.70800781,7.68689299,2.64722395,36.74826813,4.55766487,5.59234095,-,95.42932892,269.57437134,6.78529358,100
Wed Apr 24 16:25:32 GMT+05:30 2019,24-Apr-2019 16:25:32.200,77.5872067055627,12.926157485956523,2.0746753,4.0,836.3658835947531,0.42310157,0.11971374,6.73509502,7.14212179,-0.00928505,-0.05991611,0.00097626,0.73390257,0.48697558,37,5.72636175,2.10103917,404.70370483,87,1107,-,49.97594833,0.11442693,4,836.36590576,0.42310157,12.92615795,77.58720398,-,42,0.93711728,13.00888729,106.70800781,7.68689299,2.64722395,36.74826813,4.64091635,4.97096968,-,95.42932892,269.57437134,6.78620625,101
Wed Apr 24 16:25:33 GMT+05:30 2019,24-Apr-2019 16:25:33.202,77.58720736289422,12.926176927973454,2.100313,4.0,836.2131334362778,6.298771,-0.40223816,7.57548571,6.80452919,0.05056733,0.04285393,-0.04393165,0.8137117,0.55018836,37,5.67598677,2.10822368,403.95404053,87,783,-,49.97275543,0.11761729,4,836.21313477,6.2987709,12.92617702,77.58720398,-,42,0.8908627,12.98506165,112.24841309,7.70099688,2.51656127,36.68096542,4.69826603,3.10685587,-,92.85330963,262.29748535,6.78776217,102
Wed Apr 24 16:25:34 GMT+05:30 2019,24-Apr-2019 16:25:34.201,77.58720575135649,12.926192889579141,2.083213,4.0,836.4499186909271,4.1596107,-0.08858817,7.19000721,6.15807486,0.01980291,-0.03609368,0.03197248,0.72633654,0.53237164,37,5.61578894,2.11089921,402.87741089,87,785.5,-,49.97015381,0.12022044,4,836.44989014,4.15961075,12.92619324,77.58720398,-,42,0.63338792,12.97489071,157.87783813,7.70703363,1.78923142,36.65223312,4.66001511,2.48548484,-,91.69715118,259.03149414,6.78834248,103
Wed Apr 24 16:25:35 GMT+05:30 2019,24-Apr-2019 16:25:35.209,77.58720488287749,12.926202509537264,2.0360034,4.0,836.4439415676543,6.79005,-1.33600533,8.27221966,5.19078779,0.01929744,-0.00990726,-0.07492787,0.80712193,0.46793857,37,5.46806669,2.10310245,402.86456299,87,801.5,-,49.96855927,0.12181416,4,836.44396973,6.79005003,12.92620277,77.58720398,-,42,0.47581619,12.95513153,210.16081238,7.71878862,1.34411359,36.59641647,4.5544095,1.24274242,-,89.68768311,253.3550415,6.78911924,104
Wed Apr 24 16:25:36 GMT+05:30 2019,24-Apr-2019 16:25:36.200,77.58720808794965,12.92621107000161,1.9526707,3.0,836.1151584198911,1.8465254,-2.16681862,8.1309576,4.60897923,0.05373431,0.03218396,-0.2164854,0.80712193,0.50528044,37,5.38151836,2.09281278,402.23944092,87,799.5,-,49.96711731,0.12325808,3,836.11517334,1.84652543,12.92621136,77.58721161,-,42,0.31087846,12.94439983,321.66244507,7.72518778,0.87818772,36.56610107,4.36800003,0.62137121,-,88.64199829,250.40112305,6.78933191,105
Wed Apr 24 16:25:37 GMT+05:30 2019,24-Apr-2019 16:25:37.202,77.58720985456394,12.926218565586101,1.8428204,3.0,836.0345980707386,1.1344641,3.01918054,7.93941545,5.57387161,-0.00460596,0.06621735,0.32436201,0.80687791,0.51626337,37,5.29800701,2.08266473,401.89065552,87,800,-,49.96517944,0.12519394,3,836.03460693,1.13446414,12.92621899,77.58721161,-,42,0.15582807,12.92975712,641.71954346,7.73393631,0.44019228,36.52473831,4.12227201,0.62137121,-,87.27407074,246.53692627,6.78953171,106
Wed Apr 24 16:25:38 GMT+05:30 2019,24-Apr-2019 16:25:38.201,77.58720698424536,12.926221799045555,1.1816527,4.0,836.1184729472195,359.5488,3.57944083,7.00085974,5.60499716,0.00331271,-0.0144798,0.34095839,0.67435074,0.53212762,37,5.29800701,2.08266473,401.41998291,87,805.5,-,49.96318054,0.12719522,4,836.11846924,359.54879761,12.92622185,77.58720398,-,42,0.15573068,12.91463566,642.12091064,7.74299192,0.43991715,36.48202133,2.6432817,0.62137121,-,85.90343475,242.66506958,6.78953171,107
Wed Apr 24 16:25:39 GMT+05:30 2019,24-Apr-2019 16:25:39.207,77.58720184264048,12.926230834552419,1.0464896,4.0,836.8047916087356,340.8593,0.74701375,6.98649406,6.10061216,-0.02627983,-0.04817659,0.05686707,0.71364522,0.52675813,37,5.23880148,2.08116794,400.9354248,87,802,-,49.96130371,0.12907197,4,836.80480957,340.85931396,12.92623043,77.58720398,1.36942577,42,0.46400201,12.90067482,215.51182556,7.75137091,1.31074011,36.44258499,2.34093046,1.86411357,12.10595512,84.65914917,239.15014648,6.78991556,108
Wed Apr 24 16:25:40 GMT+05:30 2019,24-Apr-2019 16:25:40.204,77.58719699404837,12.926237221690585,0.92214185,4.0,836.7932489226096,341.5326,0.38547826,7.2426815,7.5850625,0.01362407,-0.01830766,-0.01025072,0.71242487,0.57483888,37,5.10559988,2.06983781,400.49093628,87,797,-,49.95992279,0.13045187,4,836.79327393,341.53259277,12.92623711,77.58719635,1.36942577,42,0.15701267,12.89052773,636.87805176,7.75747252,0.44353861,36.41392136,2.06277251,1.86411357,12.10595512,83.76838684,236.63386536,6.79051733,109
